,A01_02_1FE,A02_01_1FE,A03_01_1FE,A04_01_1FE,A04_04_1FE,A05_01_1FE,A06_01_1FE,A07_01_1FE,A08_01_1FE,A09_01_1FE,A10_01_1FE,A10_02_1FE,A11_01_1FE,A13_01_1FE,A13_03_1FE,A14_01_1FE,A15_02_1FE,A19_01_1FE,A19_03_1FE,A20_01_1FE,A20_03_1FE,A22_01_1FE,A23_01_1FE,A24_02_1FE,A24_04_1FE,A25_01_1FE,A27_02_1FE,A28_02_1FE,A29_01_1FE,A32_01_1FE,A34_01_1FE,A34_02_1FE,A35_01_1FE,A36_01_1FE,A36_02_1FE,A39_01_1FE,A39_02_1FE,A39_04_1FE,A40_02_1FE,A41_01_1FE,A42_02_1FE,A43_02_1FE,A44_01_1FE,A45_02_1FE,A46_01_1FE,A46_02_1FE,A47_01_1FE,A47_02_1FE,A48_01_1FE,A48_05_1FE,A49_01_1FE,A53_01_1FE,A54_02_1FE,A55_01_1FE,A55_02_1FE,A56_01_1FE,A58_01_1FE,A58_03_1FE,A59_01_1FE,A62_01_1FE,A62_03_1FE,A66_02_1FE,A67_01_1FE,A68_01_1FE,A69_01_1FE,A69_02_1FE,A70_01_1FE,A70_03_1FE,A72_01_1FE,A72_02_1FE,A73_01_1FE,A75_02_1FE,A79_02_1FE,A81_01_1FE,A81_03_1FE,A82_02_1FE,A83_02_1FE,A85_01_1FE,A88_02_1FE,A89_01_1FE,A89_02_1FE,A90_03_1FE,A90_04_1FE,A91_01_1FE,A91_02_1FE,A92_01_1FE,A93_01_1FE,A94_01_1FE,A94_02_1FE,A94_03_1FE,A95_01_1FE,V01_01_1FE,V06_02_1FE,V07_01_2FE,V07_02_2FE,V12_01_2FE,V18_02_1FE,V19_01_2FE,V19_02_2FE,V30_01_1FE,V31_01_2FE,V32_02_2FE,V36_02_2FE,V40_01_1FE,V48_03_2FE,V50_01_1FE,V50_01_2FE,V50_02_1FE,V53_02_1FE,V54_01_1FE
A04_01_1FE__bin.4_00720,0,0,0,2,68,1,0,255,0,0,0,0,0,4,219,37,946,0,0,0,268,38,0,0,12,490,15,152,0,649,394,0,17,0,183,0,0,0,20,304,0,2,0,3,7,9,0,0,1,0,24,345,56,162,0,37,1,0,0,0,0,5,2,19,21,1358,245,0,17,2,36,231,0,1,226,0,3,261,3,47,893,513,3617,1,10,0,0,1,280,32,236,10,8,5,0,1540,0,380,203,11,10,1,18,718,2,0,0,406,14,277
A04_01_1FE__bin.4_00721,1,0,0,0,23,2,0,64,0,0,0,0,0,0,44,0,1052,0,0,0,134,118,0,1,0,178,0,25,1,185,121,0,0,0,63,0,0,0,0,112,0,0,0,1,0,2,0,0,0,0,0,6,0,0,0,152,0,0,1,0,1,0,0,1,0,463,68,0,2,0,0,57,0,0,74,0,2,46,0,0,224,184,996,0,135,0,0,0,0,0,67,0,0,0,0,444,0,91,12,0,20,0,0,235,0,0,0,108,0,84
A04_01_1FE__bin.4_00724,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,4,484,0,2,0,49,44,0,0,2,0,0,12,0,1,21,0,4,0,0,0,2,0,0,0,0,0,1,0,10,0,0,1,0,0,0,0,0,0,7,103,0,0,2,0,0,1,2,1,0,146,7,1,1,3,0,2,0,1,17,0,0,0,0,0,0,127,0,1,60,0,0,0,0,0,0,0,0,1,0,154,0,17,0,5,0,0,0,102,0,0,0,28,0,0
A04_01_1FE__bin.4_00726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1243,0,0,0,82,130,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,460,0,6,0,0,0,0,0,212,0,0,0,15,0,87
A04_01_1FE__bin.4_00728,0,0,0,0,5,2,0,5,0,0,0,0,0,0,97,0,1442,0,0,0,0,36,0,0,0,84,0,38,0,232,104,0,4,0,76,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,63,0,0,0,0,1,0,0,0,1,401,0,0,0,0,1,3,0,0,64,0,0,0,0,0,47,0,189,0,57,0,0,0,0,0,57,1,1,0,0,208,0,0,15,0,0,0,0,92,0,0,0,37,0,7
A04_01_1FE__bin.4_00731,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1029,0,0,0,47,20,0,0,0,177,0,0,0,168,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,65,1,0,0,0,0,154,0,0,389,31,1483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,2,0,0,0,26,0,0,0,138,0,0
A04_01_1FE__bin.4_00732,2,0,0,1,54,3,0,285,2,0,0,0,40,0,84,2,3575,0,0,0,227,278,0,0,0,580,1,158,10,1003,418,0,5,2,21,0,0,0,0,240,0,0,0,1,2,3,0,2,0,0,0,178,3,10,0,763,0,0,49,2,1,2,2,1,0,1464,222,1,4,0,17,291,1,4,204,0,1,222,0,0,1155,578,4908,0,431,9,2,3,137,0,235,0,0,0,0,1580,2,408,125,37,8,0,1,611,2,0,0,479,0,177
A04_01_1FE__bin.4_00736,0,0,0,4,3,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,105,0,0,0,1,5,0,76,0,0,0,0,8,0,260,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,248,0,1,0,0,123,0,0,0,0,0,0,0,0,0,722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968,0,0,0,404,0,0
A04_01_1FE__bin.4_00738,4,0,0,4,0,0,0,36,0,0,0,0,0,0,50,2,1454,0,0,0,95,140,0,2,0,195,0,31,0,143,105,0,0,0,21,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,9,0,3,218,0,0,2,0,0,0,3,0,0,368,71,1,3,0,0,26,0,0,24,0,4,15,0,0,347,180,762,0,151,0,0,0,0,0,77,0,0,0,0,530,0,78,4,0,3,0,0,169,0,0,0,119,5,36
A04_01_1FE__bin.4_00742,0,0,0,0,2,0,0,117,0,0,0,0,0,0,177,10,1460,0,0,1,109,155,0,0,0,306,0,65,0,392,236,0,0,3,68,0,0,0,0,0,0,0,0,9,2,0,0,1,0,0,0,27,78,0,0,259,0,0,0,0,0,0,0,0,1,724,128,0,0,0,0,146,1,0,121,0,1,133,0,2,486,238,2113,0,183,1,0,0,0,0,215,0,0,0,0,870,0,149,54,8,1,0,0,294,0,0,0,222,0,86
A04_01_1FE__bin.4_00746,0,0,0,0,0,0,0,14,0,0,0,0,0,0,27,0,248,0,0,0,0,12,0,0,0,28,0,0,0,184,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,4,0,0,0,0,5,0,0,0,0,0,23,0,0,0,11,290,0,0,0,0,0,0,0,31,0,0,0,0,167,0,213,25,0,0,0,0,0,0,0,0,27,0,15
A04_01_1FE__bin.4_00752,0,0,0,0,1,0,0,39,0,0,0,0,0,1,53,0,453,0,0,2,50,48,0,0,0,83,0,0,0,80,62,0,1,0,7,0,0,0,0,34,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,278,2,0,0,0,0,3,0,0,36,0,0,32,0,0,127,101,585,0,5,1,0,1,0,0,17,0,0,1,0,210,0,19,0,0,0,0,0,84,0,0,0,3,1,50
A04_01_1FE__bin.4_00753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,96,0,0,0,15,0,0,0,0,0,0,23,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,53,0,0,0,0,0,0,0,0,0,184,2,0,1,0,0,46,0,0,25,0,1,1,0,0,1,2,14,0,49,0,0,1,0,0,0,0,0,0,0,0,0,52,6,0,0,0,0,21,0,0,0,57,0,0
A04_01_1FE__bin.4_00755,1,0,0,1,0,0,0,0,1,0,0,0,0,0,9,0,410,0,0,0,20,31,0,1,0,39,0,1,0,75,61,1,3,0,2,0,0,0,0,11,0,0,1,4,0,0,0,3,0,0,0,0,0,0,1,55,0,0,1,0,0,0,0,2,0,229,3,1,2,0,1,22,0,1,29,0,0,0,1,0,132,42,424,1,39,0,0,1,0,0,7,0,0,0,0,162,1,40,3,0,0,0,0,70,3,0,0,0,0,0
A04_01_1FE__bin.4_00760,1,0,0,7,12,0,0,159,0,0,0,0,0,0,202,0,2167,0,0,0,115,207,0,0,1,446,0,75,0,538,248,0,0,1,104,0,0,0,0,239,0,0,0,1,3,1,0,0,0,0,0,120,38,0,4,379,2,0,0,1,1,0,1,0,4,903,153,1,6,3,0,143,0,1,125,0,0,102,0,0,759,358,2770,0,249,0,0,1,0,0,249,0,0,0,0,1060,0,170,62,1,8,0,0,430,2,0,0,276,0,181
A04_01_1FE__bin.4_00763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A04_01_1FE__bin.4_00764,0,0,0,0,3,0,0,23,0,0,0,0,0,0,17,0,145,0,0,0,15,16,0,0,0,29,0,10,0,61,24,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,4,3,0,1,31,0,0,0,0,0,0,0,0,0,56,17,1,0,0,0,16,0,0,9,0,0,8,0,0,53,41,247,0,28,0,0,0,0,0,13,0,0,0,0,63,0,21,6,0,0,0,0,28,0,0,0,18,0,11
A04_01_1FE__bin.4_00765,0,0,0,0,47,1,0,132,1,0,0,0,0,0,117,0,1607,0,0,0,121,144,0,1,2,251,1,54,1,500,181,0,1,0,88,0,0,0,0,157,0,0,1,0,6,0,0,0,0,0,1,35,49,0,0,309,0,0,1,0,0,0,0,0,0,669,105,0,2,1,0,89,0,1,95,0,0,123,0,1,520,317,2140,0,207,0,0,0,1,0,108,0,0,0,0,647,1,147,92,1,0,0,0,328,0,0,0,207,1,118
A04_01_1FE__bin.4_00766,0,0,0,0,6,1,0,67,0,0,0,0,0,0,91,1,1432,0,0,0,97,130,0,0,0,272,1,43,0,356,198,0,0,0,47,0,0,0,0,84,0,0,0,3,0,0,0,0,0,0,1,1,1,0,0,259,0,0,0,1,0,0,1,0,1,654,57,0,0,0,0,36,0,0,50,0,0,96,0,1,384,248,1727,0,193,0,0,0,0,0,85,0,0,0,0,572,0,149,40,0,0,0,0,253,0,0,0,174,1,60
A04_01_1FE__bin.4_00769,0,0,0,3,21,0,0,6,0,2,1,0,0,4,46,0,74,0,1,4,10,4,0,0,0,6,0,1,2,17,2,0,0,0,5,0,0,0,0,19,0,0,1,0,0,0,0,0,0,0,0,0,1,0,27,6,1,0,1,1,0,0,0,0,0,21,1,0,0,3,0,0,0,0,0,0,0,0,0,0,5,19,25,0,8,0,0,0,0,0,4,0,0,0,0,17,0,6,0,3,7,0,0,14,0,0,0,3,0,35
A04_01_1FE__bin.4_00773,0,0,0,2,42,0,0,165,0,2,0,0,0,0,150,0,1988,0,0,1,179,182,0,0,0,329,0,83,0,527,279,0,0,0,99,0,0,0,0,174,0,0,0,4,1,1,0,4,0,0,0,9,5,11,0,392,0,0,1,1,3,0,1,0,0,902,152,1,1,6,0,115,2,0,139,1,0,113,0,0,615,397,2487,0,314,0,0,0,0,0,185,0,0,0,0,820,2,226,102,1,11,0,0,348,1,0,0,280,0,151
A04_01_1FE__bin.4_00793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
A04_01_1FE__bin.4_00794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A04_01_1FE__bin.4_00795,3,1,0,3,0,0,1,0,1,2,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,59,0,0,2,4,0,0,0,0,20,4,0,0,0,3,0,0,0,5,0,0,5,0,0,0,7,4,0,1,14,1,0,0,4,0,3,0,111,0,0,39,0,1,1,0,475,1,3,0,0,4,1,0,7,1,0,17,3,0,0,2,1,0,1,0,1,23,0,0,19,1,1,0,18,1,0,0,0,0,0,0,0,3,37
A04_01_1FE__bin.4_00796,0,1,0,7,0,0,0,2,1,0,0,0,0,1,99,1,0,0,0,1,0,1,1,1,0,0,382,0,1,14,2,0,0,4,0,230,3,1,1,0,3,2,0,2,51,0,0,12,0,0,6,31,8,0,0,54,0,0,0,3,0,9,0,375,2,7,248,0,4,1,1,1150,2,8,2,0,6,5,0,106,3,5,207,0,0,1,2,2,5,6,41,0,129,4,0,221,2,0,3,53,0,0,0,0,6,0,0,2,5,198
A04_01_1FE__bin.4_00797,0,0,0,1,0,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,147,0,0,2,0,0,0,2,0,85,1,0,0,0,3,0,0,0,16,0,1,5,0,0,0,39,1,1,1,37,0,0,0,1,0,6,0,249,0,3,152,0,3,0,0,766,0,9,0,0,3,2,0,12,1,1,72,0,0,1,1,2,0,1,0,1,19,0,0,71,0,0,0,110,0,0,0,0,2,0,0,3,8,96
A04_01_1FE__bin.4_00798,1,2,0,4,0,1,0,1,0,2,0,2,0,1,18,0,0,0,0,1,0,0,3,1,1,0,200,0,1,10,0,0,0,1,1,57,1,0,2,2,2,1,5,0,8,0,2,12,0,0,4,21,12,2,2,83,0,0,0,2,0,10,0,204,6,5,103,0,4,1,0,876,1,21,1,0,10,6,0,48,2,10,91,0,0,2,2,2,0,0,0,0,27,0,0,150,3,4,3,26,1,0,1,0,9,1,0,7,7,147
A04_01_1FE__bin.4_00799,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,143,0,0,0,1,0,0,0,1,4,1,0,0,0,0,0,1,0,20,0,0,0,0,0,0,1,1,0,1,17,0,0,0,0,1,0,0,163,0,0,124,0,1,0,0,555,1,3,0,0,1,0,0,40,1,0,22,0,0,0,2,0,0,1,0,0,20,0,0,60,1,0,0,7,0,0,0,0,0,0,2,0,3,98
A04_01_1FE__bin.4_00800,0,0,0,4,0,0,0,0,1,1,0,2,0,0,27,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,1,0,0,0,0,68,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,11,3,0,0,60,2,0,0,2,0,0,0,369,1,5,113,0,1,1,1,1041,0,9,1,0,1,1,0,27,0,1,20,0,0,3,2,0,1,1,0,0,8,0,0,161,0,0,0,36,0,0,0,0,1,0,0,0,0,79
A04_01_1FE__bin.4_00801,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A04_01_1FE__bin.4_00803,0,0,1,0,5,1,0,113,1,0,0,1,0,0,63,3,1079,0,2,1,117,98,0,1,2,162,1,40,2,318,122,0,1,2,29,0,0,0,0,91,0,0,1,1,1,3,0,7,2,0,3,3,4,0,0,132,0,0,1,0,0,0,1,0,1,366,69,1,3,2,0,58,0,2,62,1,2,36,0,0,289,193,1169,2,119,0,0,3,0,1,84,0,0,1,0,564,0,114,43,1,1,0,0,194,1,0,0,117,0,80
A04_01_1FE__bin.4_00804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A04_01_1FE__bin.4_00805,3,0,0,1,17,0,0,57,1,0,0,0,0,0,110,7,1341,0,0,1,104,114,0,3,1,219,4,16,0,382,160,0,4,2,20,0,0,0,0,86,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,232,0,0,2,1,0,1,1,0,4,504,74,0,2,0,0,19,0,2,40,0,0,27,2,0,309,173,1287,1,128,1,1,0,0,0,51,0,0,1,0,483,2,111,48,1,0,0,0,200,0,0,0,165,1,42
A04_01_1FE__bin.4_00806,2,0,0,0,47,0,1,168,0,0,0,0,1,0,186,2,2581,0,0,0,245,271,0,0,1,484,0,66,0,690,335,0,1,0,157,0,0,0,0,215,1,1,0,2,8,2,0,1,1,0,0,46,7,0,0,513,0,0,1,0,0,0,2,1,0,1199,177,1,3,2,0,213,0,0,202,0,0,177,1,0,788,437,2878,1,393,0,0,1,0,0,182,0,0,0,0,1085,1,275,105,7,5,0,0,475,0,0,0,326,0,141
A04_01_1FE__bin.4_00816,0,0,0,0,1,0,0,38,0,1,0,0,0,0,50,0,614,0,0,0,40,46,0,0,0,99,0,15,1,169,107,0,0,0,40,0,0,0,0,48,0,0,0,0,0,1,1,0,0,0,1,16,0,0,0,91,0,0,0,0,0,1,1,0,0,290,48,0,1,1,0,56,0,0,50,0,0,48,0,1,199,111,1028,0,99,0,0,1,0,0,53,0,0,0,0,219,1,66,31,0,0,0,0,77,0,0,0,76,0,60
A04_01_1FE__bin.4_00817,2,0,1,3,13,0,0,393,5,0,0,0,0,0,569,0,4830,0,0,2,395,525,0,3,3,1302,2,271,0,1734,453,0,40,4,238,0,5,0,0,677,0,0,0,1,40,15,0,40,0,0,4,262,84,0,1,755,0,0,0,2,0,4,3,0,3,1326,465,0,0,0,0,629,1,0,312,0,9,697,0,11,1816,947,8478,0,679,0,1,0,0,0,512,0,0,0,0,3158,2,461,275,9,25,0,0,1477,2,0,0,917,0,382
A04_01_1FE__bin.4_00819,0,0,0,1,42,0,0,63,0,2,0,1,0,0,138,1,963,0,0,5,111,103,1,0,0,170,0,34,0,290,110,0,0,0,63,0,0,0,0,110,1,0,0,0,12,1,0,29,1,0,0,7,1,0,0,100,0,0,0,0,0,0,0,0,0,549,73,0,0,2,0,62,0,0,44,0,2,54,0,0,252,175,1044,0,184,0,0,0,0,0,41,0,0,0,0,417,0,81,70,0,0,0,0,181,0,0,0,101,0,106
A04_01_1FE__bin.4_00823,21,0,0,4,86,0,0,60,0,3,1,0,0,0,57,0,1223,0,0,1,78,91,0,1,0,143,7,24,1,285,109,0,3,3,57,4,0,0,23,82,0,0,0,11,5,10,1,0,1,0,41,66,2,22,1,207,0,0,0,1,0,3,3,0,43,402,63,2,0,3,16,120,2,10,50,0,2,58,3,4,296,197,1173,0,141,1,0,2,38,1,89,19,14,1,0,357,4,80,69,0,3,0,12,159,0,0,0,123,9,59
A04_01_1FE__bin.4_00829,1,0,0,0,13,1,0,127,0,0,0,0,0,0,117,0,1581,0,0,1,135,170,0,0,0,285,0,79,0,384,265,0,13,1,46,0,1,0,0,122,0,0,0,1,1,2,1,2,0,1,1,62,1,1,0,335,0,0,0,0,2,1,0,0,2,804,149,0,3,1,0,220,1,1,95,0,2,135,1,0,647,314,2795,1,184,0,0,2,0,0,141,0,0,0,0,902,2,160,87,0,1,0,0,356,0,0,0,264,0,91
A04_01_1FE__bin.4_00834,0,1,0,1,0,0,0,0,2,0,0,0,0,0,69,0,0,0,0,0,54,102,0,0,0,127,0,50,0,186,129,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,352,42,0,0,1,0,39,1,0,57,0,0,51,0,0,259,164,1030,0,0,0,0,0,0,0,68,0,0,0,0,33,0,59,45,1,0,0,0,135,0,0,0,102,0,14
A04_01_1FE__bin.4_00835,0,0,0,8,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,30,0,0,0,0,0,1,1,97,36,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,142,0,0,0,1,0,34,0,0,23,0,0,0,0,0,82,1,571,0,0,0,0,2,0,0,25,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
A04_01_1FE__bin.4_00849,0,0,0,2,19,1,0,212,3,6,0,0,32,1,110,48,2217,0,0,1,192,296,0,27,0,427,14,126,35,616,376,0,4,1,91,0,0,0,0,217,1,1,2,1,3,0,0,3,2,0,1,144,2,38,0,513,0,0,35,24,1,2,2,0,1,1246,207,7,4,0,2,346,1,4,203,0,3,222,1,21,1043,491,3838,3,345,0,0,16,49,0,204,1,11,0,0,1341,0,271,161,74,84,0,1,515,0,0,0,333,1,170
A04_01_1FE__bin.4_00852,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2957,0,0,0,0,0,0,0,0,0,0,15,0,0,407,0,1,1,0,0,0,0,0,208,1,0,1,0,19,3,0,9,1,0,0,0,0,0,1,0,0,0,0,3,0,3,0,0,1,1422,0,1,0,0,0,322,1,0,0,0,1,244,0,15,1195,0,5133,0,0,0,0,1,0,0,295,0,0,0,0,0,0,290,175,0,9,0,0,15,0,0,0,328,0,140
A04_01_1FE__bin.4_00853,12,0,0,10,88,3,0,415,13,3,1,3,0,0,218,3,5380,0,2,9,424,577,1,2,9,991,4,206,4,1646,825,0,15,6,206,0,6,1,0,0,1,4,3,9,23,19,0,21,7,4,6,224,11,0,6,1112,0,0,6,8,4,1,10,2,8,2960,420,8,8,8,0,614,1,4,453,0,17,428,3,0,2066,1134,8820,0,905,2,0,7,5,1,497,1,0,4,0,2664,9,558,358,14,29,0,1,916,5,0,0,622,4,269
A04_01_1FE__bin.4_00854,0,0,0,4,30,0,0,192,1,0,0,0,0,0,134,2,2060,0,0,1,296,211,0,1,0,347,1,30,0,704,294,0,2,0,91,1,0,0,0,264,0,0,1,1,6,0,0,5,0,0,0,95,47,0,1,368,0,0,1,0,2,2,0,0,1,1229,175,0,2,0,0,189,0,1,208,0,3,244,1,0,908,514,3130,0,357,1,0,1,0,0,185,0,0,0,0,1376,1,262,132,2,1,0,0,525,0,1,0,284,0,166
A04_01_1FE__bin.4_00855,0,0,0,0,18,0,0,123,2,0,0,2,0,0,118,1,938,0,0,1,234,141,0,0,2,272,0,75,1,393,145,0,8,1,52,0,0,0,0,0,0,0,1,2,5,1,0,0,0,0,1,5,35,0,1,130,0,0,0,2,0,1,0,0,0,568,86,1,8,0,1,17,0,0,100,0,1,102,0,0,427,229,1632,0,186,0,0,2,1,0,100,0,0,0,0,794,10,153,83,1,8,1,0,267,0,1,0,3,0,125
A04_01_1FE__bin.4_00858,0,0,0,0,7,0,0,84,1,0,0,0,0,0,102,0,1353,0,0,0,70,126,0,0,1,0,0,22,0,428,140,0,0,1,70,0,0,0,0,122,0,0,0,0,13,0,0,8,0,0,0,49,1,0,0,290,0,0,1,0,0,0,0,1,0,518,97,1,3,0,0,36,0,0,46,0,0,62,0,0,330,235,1709,1,153,0,0,1,0,0,169,0,0,0,0,503,0,93,44,1,2,0,0,223,0,0,0,154,0,98
A04_01_1FE__bin.4_00864,0,0,0,3,0,0,0,14,0,0,0,0,0,0,1,0,110,0,0,0,1,4,0,1,0,29,0,5,0,24,13,0,1,0,0,0,0,0,1,16,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,44,1,0,0,0,0,0,0,0,0,64,0,0,0,1,1,1,0,0,1,0,0,0,0,0,30,14,121,0,25,0,0,0,0,0,19,1,0,1,0,49,0,7,3,1,1,0,0,13,0,0,0,25,0,1
A04_01_1FE__bin.4_00866,9,0,0,2,59,2,0,239,2,1,0,0,0,0,415,8,4612,0,0,3,381,495,0,0,2,847,2,141,1,1176,729,0,1,0,186,0,6,0,0,409,1,0,2,2,44,3,0,0,0,0,3,94,21,0,3,855,0,0,0,2,1,4,1,0,4,1959,410,1,7,10,0,435,2,0,272,2,3,287,0,1,1469,817,6348,0,609,0,1,1,0,1,655,0,0,0,0,2499,2,425,208,19,22,0,0,951,0,0,0,634,1,213
A04_01_1FE__bin.4_00868,8,0,0,0,48,0,0,171,0,1,0,1,0,0,175,1,2273,0,0,2,154,189,0,0,0,358,41,111,0,547,263,0,10,1,78,0,0,0,24,213,0,0,0,0,13,0,0,1,0,0,15,134,44,39,7,377,0,0,1,0,0,0,0,0,37,864,163,0,6,1,29,224,1,2,143,0,0,127,0,8,640,403,2590,0,232,0,1,33,93,2,211,0,16,0,0,1021,2,195,189,5,24,0,4,393,0,0,0,254,6,148
A04_01_1FE__bin.4_00869,1,0,0,0,7,0,0,17,0,0,0,0,0,0,55,0,960,0,0,0,57,57,0,0,0,153,0,29,0,317,126,0,0,0,12,0,0,0,0,59,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,1,0,0,423,52,0,0,0,0,56,0,0,1,0,0,6,0,2,0,109,0,0,113,0,0,0,0,0,55,0,0,1,0,348,0,43,18,0,2,0,0,111,0,0,0,302,0,1
A04_01_1FE__bin.4_00870,0,0,0,4,19,0,0,87,1,0,0,0,0,0,35,1,911,0,0,1,50,92,0,0,0,140,1,26,0,359,110,0,2,2,18,0,0,0,0,79,0,0,0,0,0,1,0,0,2,0,2,6,1,0,0,172,0,0,1,0,0,0,0,0,3,347,102,0,0,0,0,21,0,0,5,0,0,46,0,0,291,203,954,0,99,0,0,1,1,0,80,0,0,0,0,312,1,60,43,0,6,0,0,145,0,0,0,136,0,61
A04_01_1FE__bin.4_00872,0,0,0,1,0,0,0,45,0,0,0,0,0,0,11,0,804,0,0,0,30,97,0,0,0,158,0,31,0,376,52,0,3,0,8,0,0,0,0,62,0,0,0,0,2,1,0,4,0,0,0,15,0,0,0,124,0,0,0,0,0,2,0,1,0,212,79,0,1,1,0,36,1,1,29,0,1,40,0,0,299,196,1323,0,69,0,0,1,0,0,101,0,0,0,0,401,0,75,15,2,0,0,0,121,0,0,0,99,0,20
A04_01_1FE__bin.4_00879,3,0,0,1,6,1,0,133,1,1,0,0,0,0,40,1,1487,0,2,0,103,219,0,1,0,410,0,87,0,555,273,0,1,1,55,0,2,0,0,181,0,0,0,1,0,0,1,0,0,0,1,75,5,0,0,467,0,0,0,1,0,1,1,0,5,942,159,1,0,0,0,147,0,0,191,0,2,89,0,11,579,422,3161,0,298,0,0,1,1,0,174,0,0,0,0,899,0,170,101,0,0,0,0,387,0,0,0,320,3,86
