,A01_02_1FE,A02_01_1FE,A03_01_1FE,A04_01_1FE,A04_04_1FE,A05_01_1FE,A06_01_1FE,A07_01_1FE,A08_01_1FE,A09_01_1FE,A10_01_1FE,A10_02_1FE,A11_01_1FE,A13_01_1FE,A13_03_1FE,A14_01_1FE,A15_02_1FE,A19_01_1FE,A19_03_1FE,A20_01_1FE,A20_03_1FE,A22_01_1FE,A23_01_1FE,A24_02_1FE,A24_04_1FE,A25_01_1FE,A27_02_1FE,A28_02_1FE,A29_01_1FE,A32_01_1FE,A34_01_1FE,A34_02_1FE,A35_01_1FE,A36_01_1FE,A36_02_1FE,A39_01_1FE,A39_02_1FE,A39_04_1FE,A40_02_1FE,A41_01_1FE,A42_02_1FE,A43_02_1FE,A44_01_1FE,A45_02_1FE,A46_01_1FE,A46_02_1FE,A47_01_1FE,A47_02_1FE,A48_01_1FE,A48_05_1FE,A49_01_1FE,A53_01_1FE,A54_02_1FE,A55_01_1FE,A55_02_1FE,A56_01_1FE,A58_01_1FE,A58_03_1FE,A59_01_1FE,A62_01_1FE,A62_03_1FE,A66_02_1FE,A67_01_1FE,A68_01_1FE,A69_01_1FE,A69_02_1FE,A70_01_1FE,A70_03_1FE,A72_01_1FE,A72_02_1FE,A73_01_1FE,A75_02_1FE,A79_02_1FE,A81_01_1FE,A81_03_1FE,A82_02_1FE,A83_02_1FE,A85_01_1FE,A88_02_1FE,A89_01_1FE,A89_02_1FE,A90_03_1FE,A90_04_1FE,A91_01_1FE,A91_02_1FE,A92_01_1FE,A93_01_1FE,A94_01_1FE,A94_02_1FE,A94_03_1FE,A95_01_1FE,V01_01_1FE,V06_02_1FE,V07_01_2FE,V07_02_2FE,V12_01_2FE,V18_02_1FE,V19_01_2FE,V19_02_2FE,V30_01_1FE,V31_01_2FE,V32_02_2FE,V36_02_2FE,V40_01_1FE,V48_03_2FE,V50_01_1FE,V50_01_2FE,V50_02_1FE,V53_02_1FE,V54_01_1FE
A01_02_1FE__bin.20_00015,2,0,2,4,46,2,0,215,0,2,0,2,1,0,229,3,3777,0,0,2,259,423,0,4,1,612,1,99,1,941,526,0,1,1,113,0,0,0,0,330,0,0,2,2,26,3,0,7,2,0,4,99,38,1,1,797,0,0,2,1,3,4,2,5,2,1764,340,1,10,3,0,334,1,2,289,0,2,296,0,0,1291,658,5079,0,560,0,0,2,0,10,475,0,0,0,0,2042,5,392,232,0,6,0,0,786,0,0,0,542,0,228
A01_02_1FE__bin.20_00016,3,0,0,1,12,0,0,92,1,0,0,0,1,0,42,3,805,0,0,2,59,78,1,3,3,157,1,28,1,290,101,0,1,2,44,0,1,0,0,95,0,0,1,0,14,6,0,16,1,1,7,42,0,0,4,194,0,0,0,4,1,8,2,0,4,413,59,1,0,3,0,69,0,1,66,0,4,36,0,0,297,180,1160,0,122,0,0,5,0,1,88,1,0,0,0,478,4,71,33,4,10,0,0,139,1,0,0,95,1,52
A01_02_1FE__bin.20_00017,1,0,1,2,57,3,0,332,3,0,0,1,0,0,218,9,3833,0,0,1,314,260,0,0,2,712,0,205,0,1184,532,0,2,7,251,0,6,0,0,340,0,0,2,2,21,2,0,22,0,0,1,205,72,0,2,738,0,0,2,1,0,2,0,2,2,1693,326,0,4,0,0,340,10,0,305,0,4,279,0,15,1442,779,5920,0,524,0,0,1,0,1,499,0,0,0,0,1993,1,323,114,5,11,0,0,756,0,2,0,533,2,243
A01_02_1FE__bin.20_00019,1,0,0,1,154,0,0,71,0,0,0,0,0,0,241,5,1650,0,0,3,196,95,0,0,1,245,1,52,0,355,135,0,0,1,145,1,0,0,0,245,0,0,0,0,0,1,0,4,0,0,1,2,78,0,25,254,0,0,1,0,0,0,4,1,0,827,71,0,2,8,0,31,0,0,85,0,2,45,0,0,272,332,1305,0,195,0,0,1,0,0,153,0,0,0,0,440,1,153,54,40,91,0,0,467,1,0,0,183,1,179
A01_02_1FE__bin.20_00020,4,0,0,9,68,0,0,133,4,1,0,1,0,0,257,18,1793,0,2,2,219,161,0,0,3,324,5,73,1,470,179,0,11,1,154,0,0,0,0,264,0,0,3,2,12,3,1,2,0,0,6,16,69,2,0,391,0,0,6,5,0,10,2,3,2,1244,155,2,6,4,0,61,3,1,113,0,5,123,2,0,519,462,2204,0,243,0,0,1,0,2,176,0,0,2,0,640,1,208,30,32,39,0,0,555,3,0,0,298,2,257
A01_02_1FE__bin.20_00021,3,0,0,7,137,1,0,334,1,0,0,0,0,0,574,25,4581,0,0,3,439,467,0,0,0,683,0,216,0,1154,495,0,2,2,308,0,0,0,0,444,0,0,0,1,11,3,0,0,0,2,2,114,171,0,14,853,1,0,3,1,0,0,2,0,0,2767,371,1,2,2,0,366,6,0,252,0,1,349,5,0,1257,977,5825,0,512,1,0,2,0,0,486,1,0,0,0,1723,2,400,141,19,82,0,0,1136,2,0,0,634,2,491
A01_02_1FE__bin.20_00022,3,0,0,7,116,4,1,205,6,0,1,1,0,0,458,26,3464,1,1,4,341,389,1,1,5,563,0,118,5,834,480,0,4,4,254,0,1,3,0,335,0,0,2,4,20,6,1,5,1,1,5,56,124,0,10,700,0,0,9,3,1,2,3,1,1,2508,318,2,3,2,0,269,4,3,253,0,11,278,0,0,1155,767,4604,2,389,0,0,2,55,2,381,3,0,2,0,1528,6,367,72,42,89,1,0,1065,2,0,0,604,1,334
A01_02_1FE__bin.20_00023,0,0,0,4,50,0,0,143,1,0,0,0,1,0,244,11,898,0,0,0,145,191,0,0,0,240,0,64,0,337,183,0,4,0,134,0,1,0,0,159,0,0,3,0,31,0,0,1,0,0,0,36,68,0,0,244,0,0,1,1,1,0,0,0,0,881,64,1,0,1,0,53,1,1,84,0,0,86,0,1,335,182,483,0,131,0,0,1,0,0,153,0,0,1,0,401,0,80,66,0,37,0,0,385,0,0,0,144,0,117
A01_02_1FE__bin.20_00024,0,0,0,7,21,0,0,108,1,1,0,0,0,0,195,8,1403,0,0,1,197,169,0,0,0,268,0,61,0,393,169,0,0,5,77,0,0,0,0,173,0,0,0,0,30,1,1,1,0,0,1,7,22,0,2,258,0,0,4,0,1,3,4,0,0,1011,78,0,0,0,0,102,0,1,120,1,0,122,2,0,382,312,1597,0,161,0,0,0,0,0,164,1,0,0,0,596,0,134,56,16,17,0,0,348,1,0,0,191,0,162
A01_02_1FE__bin.20_00025,5,0,0,25,203,0,0,229,4,1,2,2,2,3,457,51,3153,0,3,20,460,365,0,2,7,473,2,206,12,756,368,0,24,2,253,0,3,0,0,411,0,0,4,10,65,7,0,15,0,1,6,46,99,2,45,629,1,0,9,2,0,1,6,2,1,2153,248,1,9,3,0,265,2,2,207,0,0,201,0,0,745,781,3432,3,472,0,0,6,0,1,369,1,0,1,0,1324,5,306,154,83,75,0,0,906,0,0,0,423,3,361
